STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Pennsylvania,2014,1605292.0,29068069,1812609,10272392,16983068,28620630,15352999,7889064,1163079.0,1566997
Rhode Island,2014,135084.0,2313010,186551,867512,1258947,2258076,1277445,782773,92710.0,37897
South Carolina,2014,729386.0,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577.0,862750
South Dakota,2014,130653.0,1345549,186216,413544,745789,1355439,696235,413254,68154.0,146035
Tennessee,2014,992583.0,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241.0,549104
Texas,2014,4949469.0,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490.0,5766846
Utah,2014,570423.0,4405929,385210,2363055,1657664,4385896,2336613,1139969,302794.0,490911
Vermont,2014,87990.0,1895044,102434,1495453,297157,1876197,955495,553032,59714.0,56780
Virginia,2014,1273211.0,15347862,1009659,5994897,8343306,15690444,8464947,4964725,619387.0,1041633
Washington,2014,1057773.0,13040197,1030232,7833024,4176941,12806300,6267816,4035948,549588.0,1525815
West Virginia,2014,280265.0,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824.0,286099
Wisconsin,2014,865119.0,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431.0,767074
Wyoming,2014,92732.0,1772633,112709,965213,694711,1775999,865932,555761,50715.0,287977
Alabama,2015,734974.0,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283.0,510091
Alaska,2015,130755.0,2920986,344111,2026555,550320,2968341,1484610,1068849,92766.0,281914
Arizona,2015,944978.0,8230507,1093834,3232013,3904660,7902600,3846357,2880184,478876.0,497662
Arkansas,2015,479682.0,5308625,581412,4075118,652095,5350543,2620399,1772639,290396.0,511556
California,2015,6226523.0,78248042,7556365,42360470,28331207,78365958,38951948,23501848,3754315.0,6373893
Colorado,2015,872320.0,9648297,715254,4354525,4578518,9557682,4578938,3170482,397263.0,923360
Connecticut,2015,505366.0,11099837,444073,4353546,6302218,10542667,6006275,3233901,362941.0,530491
Delaware,2015,121845.0,2017075,137544,1142333,737198,1975093,1072395,583951,122741.0,103129
District of Columbia,2015,46155.0,1382282,146366,0,1235916,1360942,557345,379854,41841.0,381902
Florida,2015,2743641.0,26971491,3118041,10661586,13191864,27277049,14931173,8186082,1816178.0,1681665
Georgia,2015,1717805.0,18584666,1831221,8310872,8442573,18501103,10081483,5324072,996277.0,1879063
Hawaii,2015,182384.0,2703683,259390,2381547,62746,2521004,1377713,835930,145560.0,161801
Idaho,2015,274131.0,2167967,232449,1381205,554313,2029520,1130814,663005,108684.0,75680
Illinois,2015,2047123.0,32096832,2262192,11858968,17975672,32410033,17313173,10279691,992075.0,2056951
Indiana,2015,1004215.0,12456571,929878,7676341,3850352,11378564,5537406,3712136,547516.0,948358
Iowa,2015,505311.0,6714410,458457,3460798,2795155,6772654,3383909,1912222,262267.0,842674
Kansas,2015,496920.0,5991731,475273,3967809,1548649,6175724,3051755,1692953,250584.0,963767
Kentucky,2015,688475.0,7548871,848963,4176753,2523155,7554887,3807748,2417226,468694.0,600859
Louisiana,2015,661015.0,8448743,1235580,3480365,3732798,8437263,4100906,2774314,416066.0,780338
Maine,2015,176176.0,2739589,183883,1060925,1494781,2596180,1406898,910381,109541.0,55686
Maryland,2015,874108.0,14491642,819162,6267624,7404856,13882823,7686024,4358416,386104.0,1050651
Massachusetts,2015,916130.0,16985185,778939,6808436,9397810,16972319,9774884,5043032,497880.0,1034539
Michigan,2015,1345009.0,19025996,1582706,10510346,6932944,17742903,9040821,5839572,831874.0,967476
Minnesota,2015,807044.0,11684249,629909,7567199,3487141,11969872,6257807,2933999,893322.0,1328863
Mississippi,2015,490189.0,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117.0,407791
Missouri,2015,892779.0,10623391,948600,4441091,5233700,10540353,5387766,3266781,615166.0,869078
Montana,2015,144447.0,1804339,214980,851068,738291,1804841,940488,581694,80426.0,160885
Nebraska,2015,312281.0,4248695,344382,1350116,2554197,4283846,2446701,1102622,183067.0,449287
Nevada,2015,438948.0,4345419,395630,2744606,1205183,4183085,2170424,1459504,174388.0,205794
New Hampshire,2015,183039.0,3093061,164905,1000063,1928093,3044720,1697165,938368,75581.0,125475
New Jersey,2015,1339230.0,29335237,1154004,11423305,16757928,28809725,15339450,9414336,1271558.0,1290946
New Mexico,2015,326297.0,3789651,499789,2595682,694180,3846641,1773801,1256303,154435.0,587243
New York,2015,2631532.0,63712218,2869847,25900858,34941513,65094591,41954260,15714795,1540851.0,4536014
North Carolina,2015,1465031.0,13146934,1589570,8172685,3384679,14060699,7960222,4082387,746694.0,698847
North Dakota,2015,106061.0,1644533,158373,942772,543388,1804762,825445,483984,110836.0,303053
Ohio,2015,1600222.0,24378660,1676820,10169760,12532080,22561728,11620080,7324444,922732.0,1750785
Oklahoma,2015,671715.0,6121188,688990,2993050,2439148,6184819,3000894,2041507,414086.0,663768
Oregon,2015,570376.0,7111710,577106,3678001,2856603,7011609,3650855,2272382,249968.0,477516
Pennsylvania,2015,1589429.0,29967185,1857885,10532452,17576848,29690645,16058338,8196747,1050310.0,1663209
Rhode Island,2015,134574.0,2367068,184718,908963,1273387,2326473,1322055,792525,90209.0,50889
South Carolina,2015,737401.0,8759944,836137,4094766,3829041,8783362,4123140,2893109,447019.0,928112
South Dakota,2015,132836.0,1415149,206853,425614,782682,1464781,709363,426257,70128.0,222592
Tennessee,2015,994530.0,9455920,1122775,4385403,3947742,9562527,5343272,2862499,560697.0,553396
Texas,2015,5004866.0,55582029,5830972,20967429,28783628,56255791,26745844,15145619,2783770.0,6765205
Utah,2015,573913.0,4705084,400213,2487937,1816934,4537962,2367650,1166728,271400.0,606254
Vermont,2015,85184.0,1996795,105333,1546600,344862,1969415,983532,566649,61871.0,58856
Virginia,2015,1279867.0,15857524,1012205,6240349,8604970,16113212,8755896,5075509,627473.0,1086722
Washington,2015,1072359.0,13709442,1036422,8293812,4379208,13630138,6508964,4510672,546926.0,1601069
West Virginia,2015,279565.0,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836.0,232738
Wisconsin,2015,861813.0,11637376,814385,5869265,4953726,11553677,5723474,3691809,513402.0,894823
Wyoming,2015,93867.0,1962874,120290,1116917,725667,1942406,895910,565489,52520.0,409425
Alabama,2016,734652.0,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452.0,610743
Alaska,2016,132477.0,2494691,307320,1613675,573696,2623014,1251738,983877,91536.0,255041
Arizona,2016,938274.0,8503034,1160908,3440726,3901400,7987011,3872250,2913176,490641.0,528694
Arkansas,2016,479177.0,5401016,593656,4122377,684983,5434193,2658253,1802769,289916.0,518181
California,2016,6217031.0,89217262,7709079,50904567,30603616,85320133,42587272,26058021,3995951.0,6786142
Colorado,2016,880678.0,10123271,713914,4365019,5044338,9878524,4786838,3333043,399899.0,880204
Connecticut,2016,499494.0,11419673,468595,4411204,6539874,10826431,6110631,3307162,380996.0,620905
Delaware,2016,121225.0,2043577,134412,1172219,736946,2041952,1126775,588181,130187.0,104579
District of Columbia,2016,48336.0,1329719,154922,0,1174797,1322563,594396,369131,43753.0,315283
Florida,2016,2776933.0,28125598,3147329,10963807,14014462,27945116,15212112,8286140,1841593.0,1983363
Georgia,2016,1727085.0,19403453,1807371,8771192,8824890,19158388,10534931,5554271,1029127.0,1834767
Hawaii,2016,181995.0,3030519,261131,2710361,59027,2733094,1468044,901508,146892.0,216650
Idaho,2016,274849.0,2266490,240322,1454830,571338,2100980,1171313,689190,111297.0,74932
Illinois,2016,2030717.0,32908958,2331724,12053316,18523918,33037244,17804976,10426170,992684.0,2015647
Indiana,2016,1002696.0,12732161,954837,7780711,3996613,11535287,5730602,3663349,565820.0,986746
Iowa,2016,508014.0,6919477,464852,3583134,2871491,6972412,3447707,1978260,268349.0,889597
Kansas,2016,495545.0,6069563,453922,3949517,1666124,6134836,3006786,1685306,249622.0,964098
Kentucky,2016,686440.0,7745928,880296,4269100,2596532,7786281,3917968,2425472,490641.0,736079
Louisiana,2016,660561.0,8397136,1021465,3480353,3895318,8248660,4095916,2789031,421043.0,577609
Maine,2016,179879.0,2845391,185803,1074641,1584947,2706103,1437164,938187,116281.0,95951
Maryland,2016,879196.0,14409321,823599,6334951,7250771,13992191,7779504,4338868,397653.0,1055665
Massachusetts,2016,921029.0,17484704,765043,6770086,9949575,17037880,9991819,4970289,504388.0,945525
Michigan,2016,1335713.0,19416061,1552824,10727785,7135452,18001445,9113469,5899097,847846.0,1062838
Minnesota,2016,811157.0,12186135,634332,7887346,3664457,12848946,6548885,3016934,954208.0,1743709
Mississippi,2016,486245.0,4755399,690724,2411621,1653054,4631356,2407637,1551274,287245.0,335067
Missouri,2016,891554.0,10893231,924655,4568867,5399709,10719882,5488433,3298811,630287.0,890008
Montana,2016,145240.0,1800909,220340,840804,739765,1879789,973199,599074,85351.0,179414
Nebraska,2016,315542.0,4398811,346826,1437048,2614937,4640422,2526973,1149107,206577.0,641968
Nevada,2016,441623.0,4482886,401323,2816911,1264652,4374249,2288790,1505591,184055.0,224494
New Hampshire,2016,179682.0,3150473,169166,1004753,1976554,3124778,1743022,959654,76229.0,137180
New Jersey,2016,1364473.0,30012666,1187430,11681799,17143437,29665476,15831343,9549742,1375737.0,1414861
New Mexico,2016,319861.0,3765069,506995,2591444,666630,3729397,1733158,1212080,156882.0,551143
New York,2016,2590945.0,66912661,3369803,27437593,36105265,68282026,43964520,15883500,1599317.0,4656189
North Carolina,2016,1462036.0,13448045,1557900,8287126,3603019,14207389,8060544,4102549,754102.0,912783
North Dakota,2016,108384.0,1788749,155453,985365,647931,1963630,867650,474679,117979.0,412047
Ohio,2016,1595024.0,23766529,1680983,9277802,12807744,23352516,12247509,7357292,956321.0,1854842
Oklahoma,2016,672777.0,6103728,689756,2909651,2504321,6184152,3047217,2011100,416151.0,641979
Oregon,2016,574252.0,7418055,582560,3861438,2974057,7501954,3834741,2367410,255562.0,686104
Pennsylvania,2016,1572593.0,31077289,1904293,11181046,17991950,30925177,16717308,8464573,1079198.0,1793713
Rhode Island,2016,133856.0,2401541,175379,940989,1285173,2358654,1340088,811796,90433.0,45441
South Carolina,2016,743320.0,9161667,840786,4262164,4058717,9187299,4274682,3013294,458918.0,1073334
South Dakota,2016,134045.0,1455737,196644,438629,820464,1475864,730176,440580,78149.0,192504
Tennessee,2016,999265.0,9585331,1095415,4395757,4094159,9680512,5401812,2915193,569611.0,553997
Texas,2016,5053291.0,58284155,5953348,22004299,30326508,59314884,27862199,15169007,2855527.0,8332612
Utah,2016,580215.0,4952923,394060,2533573,2025290,4923657,2591600,1217100,286744.0,707988
Vermont,2016,87974.0,2112365,111891,1614518,385956,2082696,1013209,583178,56289.0,42911
Virginia,2016,1283493.0,16259274,1058146,6297587,8903541,16497520,8944614,5164699,643506.0,1161323
Washington,2016,1083973.0,14964364,1097684,9211201,4655479,15253296,7087365,4904575,577606.0,2204059
West Virginia,2016,276764.0,3391579,358068,1863062,1170449,3366566,1804235,1127255,236487.0,181392
Wisconsin,2016,857736.0,11697466,782610,5986763,4928093,11787535,5760418,3691439,508013.0,1082849
Wyoming,2016,94511.0,2044669,123012,1175899,745758,2034229,921494,585700,53570.0,454302
